geoRegion,date,sumTotal,pop,per100PersonsTotal,type,version
AG,2021-01-11,17744,694072,2.56,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-12,17744,694072,2.56,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-13,17744,694072,2.56,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-14,17744,694072,2.56,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-15,17744,694072,2.56,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-16,17744,694072,2.56,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-17,37891,694072,5.46,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-18,37891,694072,5.46,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-19,37891,694072,5.46,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-20,37891,694072,5.46,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-21,37891,694072,5.46,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-22,37891,694072,5.46,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-23,37891,694072,5.46,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-24,37891,694072,5.46,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-25,37891,694072,5.46,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-26,37891,694072,5.46,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-27,37891,694072,5.46,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-28,37891,694072,5.46,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-29,40502,694072,5.84,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-30,40502,694072,5.84,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-01-31,40502,694072,5.84,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-01,40502,694072,5.84,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-02,40502,694072,5.84,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-03,60278,694072,8.68,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-04,60278,694072,8.68,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-05,60278,694072,8.68,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-06,60278,694072,8.68,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-07,60278,694072,8.68,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-08,60278,694072,8.68,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-09,60278,694072,8.68,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-10,61471,694072,8.86,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-11,61471,694072,8.86,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-12,61471,694072,8.86,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-13,61471,694072,8.86,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-14,61471,694072,8.86,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-15,61471,694072,8.86,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-16,61471,694072,8.86,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-17,67438,694072,9.72,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-18,67438,694072,9.72,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-19,67438,694072,9.72,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-20,67438,694072,9.72,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-21,67438,694072,9.72,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-22,67438,694072,9.72,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-23,67438,694072,9.72,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-24,74449,694072,10.73,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-25,74449,694072,10.73,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-26,74449,694072,10.73,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-27,74449,694072,10.73,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-02-28,88861,694072,12.8,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-01,88861,694072,12.8,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-02,88861,694072,12.8,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-03,99825,694072,14.38,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-04,99825,694072,14.38,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-05,99825,694072,14.38,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-06,99825,694072,14.38,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-07,99825,694072,14.38,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-08,99825,694072,14.38,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-09,99825,694072,14.38,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-10,103927,694072,14.97,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-11,103927,694072,14.97,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-12,103927,694072,14.97,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-13,103927,694072,14.97,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-14,103927,694072,14.97,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-15,103927,694072,14.97,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-16,103927,694072,14.97,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-17,106016,694072,15.27,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-18,106016,694072,15.27,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-19,106016,694072,15.27,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-20,106016,694072,15.27,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-21,133088,694072,19.17,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-22,133088,694072,19.17,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-23,133088,694072,19.17,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-24,138905,694072,20.01,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-25,138905,694072,20.01,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-26,138905,694072,20.01,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-27,138905,694072,20.01,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-28,138905,694072,20.01,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-29,138905,694072,20.01,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-30,138905,694072,20.01,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-03-31,170483,694072,24.56,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-01,170483,694072,24.56,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-02,170483,694072,24.56,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-03,170483,694072,24.56,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-04,170483,694072,24.56,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-05,170483,694072,24.56,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-06,170483,694072,24.56,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-07,182566,694072,26.3,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-08,182566,694072,26.3,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-09,182566,694072,26.3,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-10,182566,694072,26.3,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-11,182566,694072,26.3,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-12,182566,694072,26.3,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-13,182566,694072,26.3,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-14,194649,694072,28.04,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-15,194649,694072,28.04,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-16,194649,694072,28.04,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-17,194649,694072,28.04,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-18,194649,694072,28.04,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-19,194649,694072,28.04,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-20,194649,694072,28.04,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-21,233702,694072,33.67,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-22,233702,694072,33.67,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-23,233702,694072,33.67,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-24,233702,694072,33.67,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-25,233702,694072,33.67,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-26,233702,694072,33.67,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-27,233702,694072,33.67,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-28,246450,694072,35.51,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-29,246450,694072,35.51,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-04-30,246450,694072,35.51,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-01,246450,694072,35.51,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-02,286548,694072,41.29,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-03,286548,694072,41.29,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-04,286548,694072,41.29,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-05,296092,694072,42.66,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-06,296092,694072,42.66,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-07,296092,694072,42.66,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-08,296092,694072,42.66,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-09,296092,694072,42.66,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-10,296092,694072,42.66,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-11,296092,694072,42.66,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-12,305635,694072,44.04,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-13,305635,694072,44.04,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-14,305635,694072,44.04,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-15,305635,694072,44.04,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-16,366289,694072,52.77,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-17,366289,694072,52.77,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-18,366289,694072,52.77,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-19,375832,694072,54.15,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-20,375832,694072,54.15,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-21,375832,694072,54.15,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-22,375832,694072,54.15,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-23,375832,694072,54.15,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-24,375832,694072,54.15,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-25,375832,694072,54.15,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-26,385453,694072,55.54,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-27,385453,694072,55.54,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-28,385453,694072,55.54,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-29,385453,694072,55.54,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-30,467164,694072,67.31,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-05-31,467164,694072,67.31,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-01,467164,694072,67.31,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-02,474752,694072,68.4,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-03,474752,694072,68.4,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-04,474752,694072,68.4,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-05,474752,694072,68.4,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-06,474752,694072,68.4,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-07,474752,694072,68.4,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-08,474752,694072,68.4,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-09,482418,694072,69.51,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-10,482418,694072,69.51,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-11,482418,694072,69.51,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-12,482418,694072,69.51,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-13,522669,694072,75.3,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-14,522669,694072,75.3,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-15,522669,694072,75.3,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-16,530335,694072,76.41,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-17,530335,694072,76.41,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-18,530335,694072,76.41,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-19,530335,694072,76.41,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-20,571637,694072,82.36,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-21,571637,694072,82.36,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-22,571637,694072,82.36,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-23,579303,694072,83.46,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-24,579303,694072,83.46,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-25,579303,694072,83.46,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-26,579303,694072,83.46,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-27,635576,694072,91.57,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-28,635576,694072,91.57,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-29,635576,694072,91.57,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-06-30,697469,694072,100.49,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-01,697469,694072,100.49,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-02,697469,694072,100.49,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-03,697469,694072,100.49,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-04,697650,694072,100.52,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-05,697650,694072,100.52,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-06,697650,694072,100.52,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-07,720691,694072,103.84,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-08,720691,694072,103.84,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-09,720691,694072,103.84,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-10,720691,694072,103.84,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-11,720691,694072,103.84,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-12,720691,694072,103.84,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-13,720691,694072,103.84,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-14,723742,694072,104.27,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-15,723742,694072,104.27,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-16,723742,694072,104.27,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-17,723742,694072,104.27,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-18,743834,694072,107.17,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-19,743834,694072,107.17,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-20,743834,694072,107.17,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-21,750874,694072,108.18,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-22,750874,694072,108.18,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-23,750874,694072,108.18,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-24,750874,694072,108.18,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-25,750874,694072,108.18,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-26,750874,694072,108.18,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-27,750874,694072,108.18,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-28,781136,694072,112.54,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-29,781136,694072,112.54,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-30,781136,694072,112.54,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-07-31,781136,694072,112.54,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-01,799464,694072,115.18,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-02,799464,694072,115.18,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-03,799464,694072,115.18,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-04,799464,694072,115.18,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-05,799464,694072,115.18,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-06,799464,694072,115.18,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-07,799464,694072,115.18,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-08,808929,694072,116.55,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-09,808929,694072,116.55,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-10,808929,694072,116.55,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-11,815656,694072,117.52,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-12,815656,694072,117.52,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-13,815656,694072,117.52,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-14,815656,694072,117.52,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-15,835376,694072,120.36,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-16,835376,694072,120.36,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-17,835376,694072,120.36,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-18,842729,694072,121.42,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-19,842729,694072,121.42,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-20,842729,694072,121.42,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-21,842729,694072,121.42,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-22,842729,694072,121.42,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-23,842729,694072,121.42,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-24,842729,694072,121.42,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-25,842729,694072,121.42,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-26,842729,694072,121.42,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-27,842729,694072,121.42,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-28,842729,694072,121.42,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-29,870282,694072,125.39,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-30,870282,694072,125.39,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-08-31,870282,694072,125.39,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-01,870282,694072,125.39,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-02,870282,694072,125.39,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-03,870282,694072,125.39,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-04,870282,694072,125.39,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-05,880608,694072,126.88,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-06,880608,694072,126.88,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-07,880608,694072,126.88,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-08,880608,694072,126.88,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-09,880608,694072,126.88,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-10,880608,694072,126.88,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-11,880608,694072,126.88,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-12,880608,694072,126.88,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-13,880608,694072,126.88,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-14,880608,694072,126.88,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-15,880608,694072,126.88,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-16,880608,694072,126.88,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-17,880608,694072,126.88,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-18,880608,694072,126.88,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-19,921380,694072,132.75,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-20,921380,694072,132.75,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-21,921380,694072,132.75,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-22,921380,694072,132.75,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-23,921380,694072,132.75,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-24,921380,694072,132.75,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-25,921380,694072,132.75,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-26,931706,694072,134.24,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-27,931706,694072,134.24,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-28,931706,694072,134.24,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-29,931706,694072,134.24,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-09-30,931706,694072,134.24,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-10-01,931706,694072,134.24,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-10-02,931706,694072,134.24,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-10-03,975939,694072,140.61,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-10-04,975939,694072,140.61,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-10-05,975939,694072,140.61,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-10-06,975939,694072,140.61,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-10-07,975939,694072,140.61,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-10-08,975939,694072,140.61,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-10-09,975939,694072,140.61,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-10-10,987799,694072,142.32,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-10-11,987799,694072,142.32,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-10-12,987799,694072,142.32,COVID19VaccDosesContingent,2021-10-31_00-00-00
AG,2021-10-13,987799,694072,142.32,COVID19VaccDosesContingent,2021-10-31_00-00-00
